Depot,Block,Species,Warmed,Elaiosome,t_0,t_0.5,t_1,t_1.5,t_2,t_2.5,t_3,t_3.5,t_4,t_4.5,t_5,t_5.5,t_6,t_6.5,t_7,t_7.5,t_8,t_8.5,t_9,t_9.5,t_10,t_10.5,t_11,t_11.5,t_12,t_24,t_36,t_48
62,3,CA,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,0,0,0
63,2,CA,1,0,25,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,CA,1,0,25,20,16,8,5,4,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,5,CA,1,0,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,,22,19,19,19,19,18,,3,3,0,0,0
66,6,CA,1,0,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,12,11,5,3,0
67,7,CA,1,0,25,24,24,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,19,15,0,0,0
68,8,CA,1,0,25,25,25,25,25,25,25,25,25,25,25,24,24,23,22,20,18,17,2,0,0,0,0,0,0,0,0,0
69,9,CA,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20,12,6
70,10,CA,1,0,25,25,25,25,25,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,1,1,1
71,2,CA,1,1,25,25,25,22,22,22,22,22,21,19,19,19,19,19,19,19,19,19,18,12,7,0,0,0,0,0,0,0
72,1,CA,1,1,25,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3,CA,1,1,25,25,25,25,25,25,25,25,25,22,22,22,22,22,21,20,19,19,18,18,17,16,12,6,0,0,0,0
74,4,CA,1,1,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,23,23,23,22,22,22,22,22,22,22,12,4,1
75,5,CA,1,1,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,22,22,0,0,0
76,6,CA,1,1,25,25,25,25,25,25,24,24,24,24,22,22,22,22,22,22,21,21,20,20,20,20,20,20,20,0,0,0
77,7,CA,1,1,25,25,25,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,0,0,0
78,8,CA,1,1,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,3,2
79,9,CA,1,1,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,4,2,2,0,0,0
80,10,CA,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,0,0,0
